CVE_EST,CVEGEO
MB0102,9.005E+11
MB0103,9.005E+11
MB0104,9.005E+11
MB0105,9.005E+11
MB0106,9.015E+11
MB0107,9.015E+11
MB0108,9.015E+11
MB0109,090150001049A
MB0110,9.015E+11
MB0111,9.015E+11
MB0112,090150001070A
MB0113,9.015E+11
MB0114,9.015E+11
MB0115,090150001095A
MB0116,9.015E+11
MB0117,9.015E+11
MB0118,090150001120A
MB0119,9.015E+11
MB0120,9.015E+11
MB0121,9.015E+11
MB0122,9.014E+11
MB0123,9.014E+11
MB0124,9.014E+11
MB0125,9.014E+11
MB0126,9.014E+11
MB0127,9.014E+11
MB0128,9.014E+11
MB0129,9.014E+11
MB0130,9.014E+11
MB0131,9.014E+11
MB0132,9.01E+11
MB0133,9.01E+11
MB0134,9.01E+11
MB0135,9.01E+11
MB0136,9.003E+11
MB0137,9.003E+11
MB0138,9.003E+11
MB0139,9.003E+11
MB0140,9.012E+11
MB0141,9.012E+11
MB0142,9.012E+11
MB0143,9.012E+11
MB0144,9.012E+11
MB0145,9.012E+11
MB0146,9.012E+11
MB0201,9.016E+11
MB0202,9.016E+11
MB0203,9.016E+11
MB0204,9.015E+11
MB0205,090160001118A
MB0206,9.015E+11
MB0207,9.015E+11
MB0208,9.015E+11
MB0209,090140001005A
MB0210,9.014E+11
MB0211,9.014E+11
MB0212,9.014E+11
MB0213,090140001012A
MB0214,9.014E+11
MB0215,9.014E+11
MB0216,9.006E+11
MB0217,9.006E+11
MB0218,9.006E+11
MB0219,9.006E+11
MB0220,9.006E+11
MB0221,9.006E+11
MB0222,9.006E+11
MB0223,9.006E+11
MB0224,9.006E+11
MB0225,9.006E+11
MB0226,9.007E+11
MB0227,9.007E+11
MB0228,9.007E+11
MB0229,9.006E+11
MB0230,9.007E+11
MB0231,9.006E+11
MB0232,9.006E+11
MB0233,9.006E+11
MB0234,9.007E+11
MB0235,9.007E+11
MB0236,9.007E+11
MB0237,9.007E+11
MB0301,9.005E+11
MB0302,9.005E+11
MB0303,9.005E+11
MB0304,9.005E+11
MB0305,9.005E+11
MB0306,9.005E+11
MB0307,9.005E+11
MB0308,9.005E+11
MB0309,9.005E+11
MB0310,9.005E+11
MB0311,9.005E+11
MB0312,9.002E+11
MB0313,9.002E+11
MB0314,9.002E+11
MB0315,9.005E+11
MB0316,9.005E+11
MB0317,9.015E+11
MB0318,9.015E+11
MB0319,9.015E+11
MB0320,9.015E+11
MB0321,090150001056A
MB0322,090150001049A
MB0323,9.015E+11
MB0324,9.015E+11
MB0325,9.015E+11
MB0326,9.015E+11
MB0327,9.015E+11
MB0328,9.015E+11
MB0329,9.015E+11
MB0330,9.015E+11
MB0331,9.015E+11
MB0332,9.014E+11
MB0333,9.014E+11
MB0334,9.014E+11
MB0335,9.014E+11
MB0336,9.014E+11
MB0337,090140001076A
MB0338,090140001083A
MB0401,090150001049A
MB0402,9.015E+11
MB0403,9.015E+11
MB0404,9.015E+11
MB0405,9.015E+11
MB0406,090150001063A
MB0407,090150001063A
MB0408,9.015E+11
MB0409,9.015E+11
MB0410,9.015E+11
MB0411,9.015E+11
MB0412,090170001048A
MB0413,9.017E+11
MB0414,9.017E+11
MB0418,090150001070A
MB0419,9.015E+11
MB0420,9.015E+11
MB0421,9.015E+11
MB0422,9.015E+11
MB0423,9.015E+11
MB0424,090150001088A
MB0425,090150001088A
MB0426,9.015E+11
MB0427,9.015E+11
MB0428,9.015E+11
MB0430,9.015E+11
MB0432,9.017E+11
MB0433,9.017E+11
MB0434,9.017E+11
MB0435,9.017E+11
MB0436,9.017E+11
MB0437,9.017E+11
MB0438,9.017E+11
MB0439,9.006E+11
MB0440,9.017E+11
MB0441,9.017E+11
MB0442,9.017E+11
MB0443,9.017E+11
MB0501,9.005E+11
MB0502,9.005E+11
MB0503,9.005E+11
MB0504,9.005E+11
MB0505,9.005E+11
MB0506,9.005E+11
MB0507,9.005E+11
MB0508,9.005E+11
MB0509,9.005E+11
MB0510,9.005E+11
MB0511,9.005E+11
MB0512,9.005E+11
MB0513,9.005E+11
MB0514,9.017E+11
MB0515,9.017E+11
MB0516,9.017E+11
MB0518,9.017E+11
MB0519,9.017E+11
MB0520,9.017E+11
MB0521,9.017E+11
MB0522,9.017E+11
MB0523,9.006E+11
MB0524,9.006E+11
MB0525,9.006E+11
MB0526,9.006E+11
MB0527,9.006E+11
MB0528,9.006E+11
MB0529,9.007E+11
MB0530,9.007E+11
MB0531,9.007E+11
MB0532,9.007E+11
MB0533,9.007E+11
MB0534,9.007E+11
MB0535,9.007E+11
MB0536,9.007E+11
MB0537,9.007E+11
MB0538,9.007E+11
MB0539,9.003E+11
MB0540,9.003E+11
MB0541,9.003E+11
MB0542,9.003E+11
MB0543,9.003E+11
MB0544,9.003E+11
MB0545,9.003E+11
MB0546,9.003E+11
MB0547,9.012E+11
MB0548,090130001121A
MB0549,9.013E+11
MB0550,9.013E+11
MB0551,9.013E+11
MB0601,090020001010A
MB0602,9.002E+11
MB0603,9.002E+11
MB0604,9.002E+11
MB0605,9.002E+11
MB0606,9.002E+11
MB0607,9.002E+11
MB0608,9.002E+11
MB0609,9.005E+11
MB0610,9.005E+11
MB0611,9.005E+11
MB0612,9.005E+11
MB0613,9.005E+11
MB0614,9.005E+11
MB0615,9.005E+11
MB0616,9.005E+11
MB0617,9.005E+11
MB0618,9.005E+11
MB0619,090050001128A
MB0620,9.005E+11
MB0621,9.005E+11
MB0622,9.005E+11
MB0623,9.005E+11
MB0624,9.005E+11
MB0625,9.005E+11
MB0626,9.005E+11
MB0627,9.005E+11
MB0628,090050001199A
MB0629,090050001295A
MB0630,090050001199A
MB0631,090050001167A
MB0632,9.005E+11
MB0633,9.005E+11
MB0634,9.005E+11
MB0635,9.005E+11
MB0636,9.005E+11
MB0637,9.005E+11
MB0701,9.005E+11
MB0702,9.005E+11
MB0703,9.005E+11
MB0704,090050001128A
MB0705,9.005E+11
MB0706,9.005E+11
MB0707,9.005E+11
MB0708,9.005E+11
MB0709,9.005E+11
MB0710,9.005E+11
MB0711,9.015E+11
MB0712,9.015E+11
MB0713,9.015E+11
MB0714,9.015E+11
MB0715,9.015E+11
MB0716,9.015E+11
MB0717,090150001063A
MB0718,9.015E+11
MB0719,9.015E+11
MB0720,9.015E+11
MB0721,9.015E+11
MB0722,9.015E+11
MB0723,9.015E+11
MB0724,9.015E+11
MB0725,9.015E+11
MB0726,9.015E+11
MB0727,9.015E+11
MB0728,090160001068A
MB0729,9.016E+11
MB0730,9.016E+11
MB0731,090160001075A